group,reference,group_n,reference_n,group_fatal,reference_fatal,group_rate,reference_rate,difference,relative_risk,z_statistic,p_value
Fim de semana,Demais dias,97558,202528,8114,13415,0.08317103671661985,0.06623775477958603,0.01693328193703382,1.2556439600554294,16.83716704962708,1.303283345420499e-63
Feriado nacional,Demais dias,10341,289745,811,20718,0.0784256841698095,0.0715042537403579,0.006921430429451592,1.096797464030382,2.680025969214588,0.007361644874611074
Ferias (jan/jul/dez),Demais dias,77166,222920,5569,15960,0.07216909001373661,0.07159519109994616,0.0005738989137904493,1.008015886332216,0.532447527213455,0.5944160752801662
"Periodo intenso (fim de semana, feriado ou ferias)",Demais dias,156123,143963,12090,9439,0.07743894237236025,0.06556545779123803,0.011873484581122223,1.1810935968589997,12.591891731202942,2.3399738813812094e-36
