recorte,grupo,dias_observados,percentual_dias,sinistros,sinistros_por_dia,sinistros_fatais,sinistros_fatais_por_dia,proporcao_fatal,mortos,mortos_por_100_sinistros
Fim de semana,Fim de semana,452,0.28589500316255534,97558,215.8362831858407,8114,17.951327433628318,0.08317103671661985,9586,9.82594969146559
Fim de semana,Demais dias - Fim de semana,1129,0.7141049968374447,202528,179.38706820194864,13415,11.882196634189548,0.06623775477958603,15550,7.677950703112655
Feriado nacional,Feriado nacional,55,0.03478810879190386,10341,188.01818181818183,811,14.745454545454546,0.0784256841698095,947,9.157721690358766
Feriado nacional,Demais dias - Feriado nacional,1526,0.9652118912080961,289745,189.8722149410223,20718,13.576671035386632,0.0715042537403579,24189,8.348375295518473
Ferias (jan/jul/dez),Ferias (jan/jul/dez),403,0.2549019607843137,77166,191.47890818858562,5569,13.818858560794045,0.07216909001373661,6654,8.622968664956069
Ferias (jan/jul/dez),Demais dias - Ferias (jan/jul/dez),1178,0.7450980392156863,222920,189.23599320882852,15960,13.548387096774194,0.07159519109994616,18482,8.290866678629104
Periodo intenso (qualquer),Periodo intenso (qualquer),776,0.49082858950031627,156123,201.18943298969072,12090,15.579896907216495,0.07743894237236025,14273,9.142150740121572
Periodo intenso (qualquer),Demais dias - Periodo intenso (qualquer),805,0.5091714104996837,143963,178.8360248447205,9439,11.725465838509317,0.06556545779123803,10863,7.545688822822531
